time,min,max,mean,variance,lossCount,slope,intercept
5.15,0.11272700000000047,0.115475,0.11412512000000002,4.750971099999131e-07,0,0.008300519775014158,0.07158262802326597
5.2,0.11193600000000004,0.11592100000000016,0.11399155999999987,1.0379565066667173e-06,0,-0.010723905017251251,0.16949190617578697
5.25,0.11299700000000001,0.11733599999999988,0.11552163999999994,1.104442656666696e-06,0,0.02378567996117612,-0.008731829332830468
5.3,0.11239899999999992,0.11709899999999962,0.11415083999999986,1.3362643899997739e-06,0,-0.02482163816798414,0.2450896736185955
5.35,0.11396899999999999,0.1174470000000003,0.1161117307692307,7.541295646154806e-07,0,0.008635246311547606,0.07013356637230808
5.4,0.11470000000000002,0.11746499999999926,0.11589700000000004,3.511599166665235e-07,0,-0.009055293164561825,0.16457246464938807
5.45,0.11481500000000011,0.11655899999999964,0.11576975999999994,2.827154399999449e-07,0,0.00202481878489705,0.10478399925806567
5.5,0.11491200000000035,0.11878000000000011,0.11670111538461544,1.5335813861537655e-06,0,0.06157973446333207,-0.22048910395997037
5.55,0.11505600000000005,0.11858500000000038,0.11713199999999997,9.46288869565417e-07,0,-0.052125716647568446,0.40513841918739946
5.6,0.115151,0.11900300000000019,0.11740940000000005,9.169712500000327e-07,0,0.04542386532771121,-0.1357817336169248
5.65,0.11671500000000012,0.11912400000000023,0.11824563999999999,5.277864066666756e-07,0,-0.003516490151937816,0.1380199144296249
5.7,0.1165919999999998,0.12148300000000045,0.11875029629629642,2.4635766780626698e-06,0,0.07852031047018639,-0.32683469967472756
5.75,0.11696099999999987,0.12076299999999929,0.11805200000000009,6.637439999999283e-07,0,0.013508787125294762,0.040694293575653614
5.8,0.11754499999999979,0.1212270000000002,0.11963528000000007,8.173982933334074e-07,0,-0.02495096234952272,0.2636928288991494
5.85,0.11819000000000024,0.12123799999999996,0.1198756000000001,7.582469166666026e-07,0,0.016382960922107295,0.02446801748015051
5.9,0.11861199999999972,0.12149200000000082,0.11989288461538475,5.63758106154016e-07,0,0.03388455722308,-0.07916305325271733
5.95,0.11846800000000002,0.12366600000000005,0.12100719999999993,2.184562583333123e-06,0,0.07563655214762946,-0.3270944615155015
6.0,0.11880700000000033,0.12347999999999981,0.12065888000000008,1.1423969433332601e-06,0,-0.04607291534548202,0.3959229373061248
6.05,0.11855100000000007,0.12326799999999949,0.12134765384615373,1.8756220753848092e-06,0,0.05475064297561075,-0.2085298386775379
6.1,0.12021399999999982,0.12369499999999967,0.12187363999999999,7.107698233331865e-07,0,0.01864011853813709,0.008626390162574105
6.15,0.1203890000000003,0.12387399999999982,0.12208025000000007,7.001885434781913e-07,0,-0.005438279103710651,0.15538597522524325
6.2,0.12031900000000029,0.12548099999999973,0.12238011111111104,1.6489191025640092e-06,0,0.05470511170836174,-0.21542696044305137
6.25,0.12120699999999918,0.12446499999999983,0.12339882608695642,7.616962411068539e-07,0,-0.037502070048792954,0.3568014410255495
6.3,0.12106399999999962,0.12489499999999953,0.12283884615384616,1.592923655384844e-06,0,0.06083161008418033,-0.25880346527210285
6.35,0.1227159999999996,0.12501100000000065,0.12378523076923074,3.1360242461551704e-07,0,0.021537647469436545,-0.012428429453641435
6.4,0.12297599999999953,0.12582100000000018,0.12401948000000002,6.317972600002178e-07,0,-0.014139482833597446,0.21416432641457228
6.45,0.12211399999999983,0.1253289999999998,0.12403539999999996,7.324152500000795e-07,0,0.03744774519426987,-0.11658367271892256
6.5,0.12277700000000014,0.12740099999999988,0.12535342307692313,1.210904093846338e-06,0,0.03184040530068057,-0.08081089526486127
6.55,0.12255400000000005,0.12714300000000023,0.12454992000000015,1.3601295766668276e-06,0,-0.008007043084066945,0.17680993040583984
6.6,0.12476999999999983,0.12720999999999982,0.12585588000000006,3.056601933333562e-07,0,0.0067016898801886896,0.08178845121906847
6.65,0.12475799999999992,0.1273799999999996,0.12588312499999987,6.116098532607908e-07,0,-0.006981206879946561,0.17212934837191893
6.7,0.12490600000000018,0.129073,0.12664546153846157,1.5592980984614556e-06,0,0.013200537421758028,0.03854823631436098
6.75,0.12406900000000043,0.12884399999999996,0.1268301153846155,2.2241170661538287e-06,0,0.07296858330782154,-0.3639186491193759
6.8,0.12523199999999957,0.12903299999999973,0.12716368000000003,1.184781560000016e-06,0,-0.03663053127177104,0.3753755386977251
6.85,0.1261019999999995,0.1293470000000001,0.1279792,8.633680833332967e-07,0,0.009151245146183009,0.06551818010010149
6.9,0.12676399999999965,0.1296949999999999,0.12805656,5.77970340000009e-07,0,0.0018289512579651517,0.11548168331971005
6.95,0.12708599999999937,0.1315299999999997,0.12897407692307697,1.4910380738464156e-06,0,0.06047385945605517,-0.2898390881124602
7.0,0.12660699999999991,0.1294740000000001,0.12809479166666674,3.5305025905791724e-07,0,-0.013567039581819741,0.22274224555877792
7.05,0.12709700000000002,0.13143300000000036,0.12975936000000007,1.1123334066666922e-06,0,-0.00880063289442054,0.1915723803976302
7.1,0.12716300000000036,0.13132699999999975,0.1296160384615386,1.137936918461523e-06,0,0.040964564075898866,-0.16020252363871587
7.15,0.128552,0.13090400000000013,0.12996808,5.38021410000036e-07,0,0.012443804976856947,0.04130064060485099
7.2,0.12823800000000052,0.13361800000000024,0.13054830769230777,2.1630858215382405e-06,0,0.0471495851341045,-0.20779069563266553
7.25,0.12815400000000032,0.13308799999999987,0.13066579166666667,1.905233476448923e-06,0,-0.053927248654753124,0.5203300895839807
